Age,Gender,Level,GPA,Teaching_Quality,Lab_Sessions,Study_Hours_Weekly,Structured_Plan,Study_Method,Class_Regularity,Living_Situation,Sleep_Hours_Daily,Physical_Activity,Success_Factors_Len,Improvement_Suggestions_Len,Decision
16,0,1,12,1,0,15,2,0,6,0,1,1,0,52,0
19,1,3,11,2,0,4,1,0,6,0,0,1,15,74,0
16,1,2,12.84,2,1,3,1,0,4,1,0,1,12,41,1
20,1,2,13,0,0,20,0,0,5,0,0,1,34,0,1
20,0,1,11,2,1,4,1,0,5,0,1,1,99,48,0
18,1,3,13,3,1,10,2,0,5,0,0,1,52,14,1
19,0,1,11.3,2,1,4,1,0,6,1,0,2,246,42,0
26,1,1,12.8,0,1,0,1,0,6,0,0,2,0,71,1
19,0,1,13,1,1,0,0,0,4,1,0,2,44,28,1
21,1,2,13.56,2,1,6,0,0,6,1,1,1,59,32,1
24,1,3,11.16,1,1,2,2,0,4,1,1,2,90,60,0
18,1,1,10,2,0,4,1,0,5,0,0,2,43,0,0
16,0,3,11.2,2,0,10,1,0,6,0,0,2,0,21,0
18,1,2,12,2,1,39,1,0,6,0,0,0,11,31,0
17,1,1,11.93,2,0,6,0,0,4,0,1,2,64,0,0
17,1,3,13,2,0,17,0,0,6,1,1,1,0,201,1
22,1,1,13,3,0,2,1,0,6,1,1,2,25,544,1
28,0,3,12,2,1,8,2,0,5,0,1,1,17,96,0
20,0,1,12.19,2,1,14,0,0,5,0,0,1,19,122,1
22,0,5,12,2,0,7,2,0,4,2,1,0,56,24,0
20,0,3,11,2,1,15,0,0,6,1,1,0,54,0,0
26,0,3,11.57,1,1,2,0,0,6,0,1,1,11,0,0
19,1,3,11,1,0,3,1,0,6,1,0,2,42,201,0
26,1,1,11.26,1,0,30,1,0,5,1,0,0,15,0,0
20,1,2,12.32,3,1,0,1,0,4,1,0,0,25,37,1
22,1,1,12,2,1,20,0,0,4,1,0,1,59,80,0
19,1,3,12,2,1,0,0,0,4,0,0,1,21,34,0
20,1,1,11,0,0,3,0,0,6,0,1,1,0,73,0
19,1,3,11.69,3,1,14,2,0,6,0,0,0,10,28,0
20,1,3,11,2,0,21,1,0,6,0,0,0,49,39,0
20,1,1,10,1,1,12,2,0,6,0,0,1,17,134,0
17,1,2,11,2,1,15,0,1,6,1,1,2,0,74,0
20,0,1,11.08,2,1,21,0,0,5,1,0,2,0,61,0
30,1,4,11.5,2,0,7,0,0,6,0,0,1,49,122,0
17,1,3,12,2,1,5,2,0,5,0,0,0,19,30,0
19,1,1,11.45,1,1,3,0,0,2,1,1,2,13,120,0
18,0,1,12,2,1,4,0,0,4,0,0,0,0,50,0
17,1,1,13,1,1,10,1,0,6,0,1,1,15,60,1
22,1,1,12.87,2,1,3,0,0,6,1,0,1,24,57,1
26,0,5,11,2,1,12,0,0,5,0,1,0,16,195,0
20,1,3,12,2,1,10,1,0,5,0,0,2,13,109,0
26,1,2,12.34,2,1,7,1,0,6,0,0,2,27,52,1
18,0,3,11.26,1,0,5,1,0,6,0,1,2,19,122,0
18,1,3,12,2,1,21,1,0,5,0,0,0,26,35,0
19,1,2,12,2,1,8,1,1,4,0,1,2,26,0,0
18,1,1,13.56,2,1,0,2,0,4,0,1,1,25,0,1
18,1,5,13.78,2,0,4,0,0,6,0,0,1,0,21,1
26,1,2,11,2,0,3,1,0,6,1,1,2,0,60,0
21,1,1,12,2,0,12,0,0,4,2,0,2,17,0,0
28,0,3,11,2,0,30,1,0,4,2,0,1,0,60,0
19,0,3,12,2,0,2,1,0,6,0,1,2,10,38,0
25,1,2,12,2,1,14,0,0,3,1,1,0,11,24,0
18,0,1,17.05,2,1,12,2,0,6,1,0,1,11,35,1
18,0,1,11.9,2,1,3,1,0,4,0,0,1,57,17,0
19,1,2,11,3,1,6,1,0,6,0,0,1,40,34,0
24,1,3,11.58,1,0,4,0,0,4,0,1,1,56,29,0
16,1,5,12,2,0,4,0,0,6,1,0,0,32,30,0
16,1,1,12.87,2,0,0,0,0,2,1,1,1,13,27,1
18,0,2,10,2,1,0,0,0,3,2,1,2,0,28,0
27,0,3,11.94,2,1,3,0,0,6,1,0,1,0,50,0
19,1,4,10,2,0,35,2,1,6,1,1,2,4,157,0
18,0,3,11.08,2,0,22,1,0,2,0,0,2,4,47,0
20,0,5,11,1,1,7,2,0,5,0,1,1,0,506,0
26,1,4,14,2,1,2,0,0,6,0,0,2,0,15,1
20,0,2,14,2,0,30,1,0,6,1,1,1,52,0,1
17,0,1,13,2,1,3,0,0,5,1,1,1,11,22,1
19,0,1,10,1,0,5,1,1,6,1,1,1,0,0,0
18,1,3,14,2,0,5,1,0,5,0,0,0,12,36,1
18,1,4,12.84,2,1,0,1,0,3,0,1,2,33,22,1
19,1,3,11,2,0,20,1,0,4,1,1,2,21,28,0
25,1,2,12.8,3,1,21,2,0,6,1,0,1,8,0,1
24,0,3,11,1,0,10,2,0,4,1,0,2,0,0,0
18,1,3,12,2,1,4,0,0,4,1,1,1,41,41,0
18,1,4,12.87,1,0,5,2,0,6,0,1,0,99,0,1
22,0,2,15.68,0,0,5,0,0,6,1,1,0,19,0,1
17,0,4,12.54,2,0,14,0,0,2,1,1,2,0,14,1
18,1,5,7,2,0,3,2,0,6,1,1,1,33,0,0
25,1,4,13,2,0,10,0,0,3,0,1,2,28,48,1
17,1,4,15.68,2,1,10,0,0,6,0,0,1,48,112,1
20,1,2,11,2,0,5,1,0,6,2,0,1,19,21,0
20,1,5,11.76,2,1,4,1,0,6,0,1,1,81,35,0
25,0,2,12,2,1,12,0,0,6,1,0,0,21,48,0
24,0,1,12.38,0,0,42.5,1,0,6,0,1,1,26,157,1
20,0,2,12.13,1,1,5,2,0,4,2,0,0,4,41,1
20,1,2,13.5,2,0,30,1,0,6,1,0,1,0,210,1
19,1,5,12,3,1,12,0,0,4,1,1,1,7,44,0
21,1,2,16,1,1,22,1,0,4,0,0,2,0,14,1
22,0,1,12.32,2,1,14,1,0,4,1,1,1,43,73,1
19,0,4,14.18,1,1,0,1,0,6,0,0,0,43,25,1
19,0,2,11.58,1,0,4,1,0,4,1,0,2,0,47,0
23,1,2,12,2,0,12,0,0,4,1,0,2,11,55,0
22,1,2,12,0,1,5,1,0,6,0,0,1,12,0,0
